simulatorType,day,roomId,shortage
dynamic,30,23,0
dynamic,30,24,0
dynamic,30,25,2
dynamic,30,26,0
dynamic,30,27,0
dynamic,30,28,1
dynamic,30,29,1
dynamic,30,30,0
dynamic,30,31,1
dynamic,30,32,0
dynamic,30,33,0
dynamic,30,34,0
dynamic,30,35,0
dynamic,30,36,0
dynamic,30,37,4
dynamic,30,38,1
dynamic,30,39,0
dynamic,30,40,0
dynamic,30,41,0
dynamic,30,42,3
dynamic,30,43,1
dynamic,30,44,2
dynamic,30,45,0
dynamic,30,46,1
dynamic,30,47,0
dynamic,30,48,4
dynamic,30,49,0
dynamic,30,50,0
dynamic,30,51,0
dynamic,30,52,0
dynamic,30,53,0
dynamic,30,54,4
dynamic,30,55,0
dynamic,30,56,0
dynamic,30,57,0
dynamic,30,58,0
dynamic,30,59,0
dynamic,30,60,0
dynamic,30,61,0
dynamic,30,62,0
dynamic,30,63,4
dynamic,30,64,0
dynamic,30,65,0
dynamic,30,66,0
dynamic,30,67,0
dynamic,30,68,0
dynamic,30,69,1
dynamic,30,70,0
dynamic,30,71,0
dynamic,30,72,0
dynamic,30,73,0
dynamic,30,74,0
dynamic,30,75,1
dynamic,30,76,0
dynamic,30,77,0
dynamic,30,78,0
dynamic,30,79,0
dynamic,30,80,2
dynamic,30,81,0
dynamic,30,82,0
dynamic,30,83,0
dynamic,30,84,0
dynamic,30,85,0
dynamic,30,86,0
dynamic,30,87,0
dynamic,30,88,0
dynamic,30,89,0
dynamic,30,90,0
dynamic,30,91,0
dynamic,30,92,0
dynamic,30,93,0
dynamic,30,94,0
dynamic,30,95,0
dynamic,30,96,0
dynamic,30,97,0
dynamic,30,98,0
dynamic,30,99,0
static,31,0,0
static,31,1,0
static,31,2,0
static,31,3,0
static,31,4,0
static,31,5,0
static,31,6,0
static,31,7,0
static,31,8,0
static,31,9,0
static,31,10,0
static,31,11,0
static,31,12,0
static,31,13,0
static,31,14,0
static,31,15,1
static,31,16,0
static,31,17,0
static,31,18,0
static,31,19,0
static,31,20,0
static,31,21,0
static,31,22,2
static,31,23,0
static,31,24,0
static,31,25,1
static,31,26,0
static,31,27,0
static,31,28,3
static,31,29,4
static,31,30,0
static,31,31,1
static,31,32,0
static,31,33,1
static,31,34,0
static,31,35,2
static,31,36,0
static,31,37,2
static,31,38,0
static,31,39,0
static,31,40,0
static,31,41,0
static,31,42,6
static,31,43,0
static,31,44,6
static,31,45,0
static,31,46,2
static,31,47,0
static,31,48,1
static,31,49,0
static,31,50,4
static,31,51,0
static,31,52,0
static,31,53,0
static,31,54,5
static,31,55,0
static,31,56,0
static,31,57,0
static,31,58,1
static,31,59,1
static,31,60,0
static,31,61,0
static,31,62,0
static,31,63,6
static,31,64,0
static,31,65,0
static,31,66,0
static,31,67,0
static,31,68,0
static,31,69,1
static,31,70,0
static,31,71,0
static,31,72,0
static,31,73,0
static,31,74,3
static,31,75,0
static,31,76,0
static,31,77,0
static,31,78,0
static,31,79,0
static,31,80,0
static,31,81,0
static,31,82,0
static,31,83,0
static,31,84,0
static,31,85,0
static,31,86,0
